Apple ID Number,Device Identifier,Device Name,Enabled?,Associated Date
405952270,CFBC09E2.D426B957.17FBED19.EA3D1D9E.51266410.E2DDBAFA.D1EBEA89,KBERMAN-PC,Yes,2020-01-29T19:45:51Z
405952270,6C96CFD93F65,kberman-MBP,Yes,2019-06-22T17:41:04Z
405952270,1A112876.C0544FAE.3C73191B.7DC1F12F.8D253DCE.11FD1203.03099F90,,No,2017-07-26T13:10:55Z
405952270,EFE5E5A1.8EFCDE48.817804FA.5F408FA6.28597087.FABE8BAF.662208C0,,No,2017-06-20T14:17:57Z
405952270,A860B60BC54A,,No,2017-04-09T22:10:49Z
405952270,406C8FBC88EC,,No,2017-03-08T16:29:10Z
405952270,E4ACCACA.7F9A4220.EEDC2BA5.0306924D.35634CFB.AB7F7EB4.458133D9,DESKTOP-IQQ2E85,No,2017-01-04T03:00:45Z
405952270,E4ACCACA.8B44DE97.88D367CB.0306924D.039DE2D4.AB7F7EB4.E898BC83,,No,2016-11-10T01:34:08Z
405952270,8EB20358.8EFCDE48.817804FA.EA3D1D9E.97D4ED56.E2DDBAFA.662208C0,KBERMAN-PC,No,2016-11-09T17:11:46Z
405952270,DAA6E749.3F6B2A75.00000000.0306924D.039DE2D4.FDFBF3E2.EAE7D8C0,KEVIN-PC,No,2013-04-24T02:48:49Z
405952270,2A469014.3E8A06F1.CD9753B8.2CD490EC.72416C68.D5ECC18B.7C5FC69D,JEFF-PC,No,2011-04-05T02:55:53Z
405952270,0026B0DFEBEA,Kevin Berman’s MacBook Pro,No,2011-01-13T01:29:09Z
