Apple ID Number,Item Purchased Date,Content Type,Item Reference Number,Item Description,Seller,Container Reference Number,Container Description,Invoice Item Total,Device Identifier,Device Details,Device IP Address,Refund Amount,Document Number,Invoice Date,Invoice Tax Amount,Invoice Total Amount,Purchase Created Date,Order Number,Billing Information ID,Payment Type,Currency ID,Purchase Chargeback?
405952270,2020-06-09T07:59:25Z,Apple Music Subscription,1110451842,Apple Music Student Membership,Apple Inc.,,,$4.99,a10ac19044e8c97f10b63016e693ec62e5c37ade,"Music/2.0 iOS/8.4 model/iPhone6,1 build/12H143 (6; dt:89)",70.199.225.58,,152348573046,06/09/2020,$0.00,$4.99,2020-06-09T07:59:25Z,MTJXJB0L2K,500000421626418,Visa,USD,No
405952270,2020-05-09T07:59:06Z,Apple Music Subscription,1110451842,Apple Music Student Membership,Apple Inc.,,,$4.99,a10ac19044e8c97f10b63016e693ec62e5c37ade,"Music/2.0 iOS/8.4 model/iPhone6,1 build/12H143 (6; dt:89)",70.199.225.58,,135341417127,05/09/2020,$0.00,$4.99,2020-05-09T07:59:06Z,MTJX8J4LKZ,500000421626418,Visa,USD,No
405952270,2020-05-03T16:10:52Z,Arcade Subscription,1479623483,Apple Arcade Monthly,Apple Inc.,915061776,App Store,$4.99,6C96CFD93F65,MacAppStore/3.0 (Macintosh; OS X 10.15.4; 19E266) AppleWebKit/5609.1.20.111.8 CommerceKit/709.6.5,73.232.114.111,,170340187426,05/03/2020,$0.00,$4.99,2020-05-03T16:10:52Z,MTJX761Q9K,500000421626418,Visa,USD,No
405952270,2020-04-09T07:59:25Z,Apple Music Subscription,1110451842,Apple Music Student Membership,Apple Inc.,,,$4.99,a10ac19044e8c97f10b63016e693ec62e5c37ade,"Music/2.0 iOS/8.4 model/iPhone6,1 build/12H143 (6; dt:89)",70.199.225.58,,187334158690,04/09/2020,$0.00,$4.99,2020-04-09T07:59:25Z,MTJX1N96V8,500000421626418,Visa,USD,No
405952270,2020-04-04T00:10:42Z,Arcade Subscription,1479623483,Apple Arcade Monthly,Apple Inc.,915061776,App Store,$0.00,6C96CFD93F65,MacAppStore/3.0 (Macintosh; OS X 10.15.4; 19E266) AppleWebKit/5609.1.20.111.8 CommerceKit/709.6.5,73.232.114.111,,,,,,2020-04-04T00:10:42Z,,500000421626418,Visa,USD,No
405952270,2020-03-28T18:51:34Z,In-App Subscription,1441293060,PictureThis Premium,Glority Global Group Ltd.,1252497129,PictureThis - Plant Identifier,$0.00,00008020-00160D100268002E,"itunesstored/1.0 iOS/13.3.1 model/iPhone11,2 hwp/t8020 build/17D50 (6; dt:185)",73.232.114.111,,,,,,2020-03-28T18:51:34Z,,500000421626418,Visa,USD,No
405952270,2020-03-09T07:59:50Z,Apple Music Subscription,1110451842,Apple Music Student Membership,Apple Inc.,,,$4.99,a10ac19044e8c97f10b63016e693ec62e5c37ade,"Music/2.0 iOS/8.4 model/iPhone6,1 build/12H143 (6; dt:89)",70.199.225.58,,130327452669,03/09/2020,$0.00,$4.99,2020-03-09T07:59:50Z,MTJWTSH5YH,500000421626418,Visa,USD,No
405952270,2020-02-25T19:36:21Z,In-App Subscription,1468603762,Annual Subscription,Headspace Inc.,493145008,Headspace: Meditation & Sleep,$0.00,00008020-00160D100268002E,"itunesstored/1.0 iOS/13.3.1 model/iPhone11,2 hwp/t8020 build/17D50 (6; dt:185)",2600:1005:b042:a57b:897:13cc:3468:2b65,,,,,,2020-02-25T19:36:21Z,,500000421626418,Visa,USD,No
405952270,2020-02-09T08:59:59Z,Apple Music Subscription,1110451842,Apple Music Student Membership,Apple Inc.,,,$4.99,a10ac19044e8c97f10b63016e693ec62e5c37ade,"Music/2.0 iOS/8.4 model/iPhone6,1 build/12H143 (6; dt:89)",70.199.225.58,,167319976168,02/09/2020,$0.00,$4.99,2020-02-09T08:59:59Z,MTJWK4JTWK,500000421626418,Visa,USD,No
405952270,2020-01-09T08:58:55Z,Apple Music Subscription,1110451842,Apple Music Student Membership,Apple Inc.,,,$4.99,a10ac19044e8c97f10b63016e693ec62e5c37ade,"Music/2.0 iOS/8.4 model/iPhone6,1 build/12H143 (6; dt:89)",70.199.225.58,,178313313781,01/09/2020,$0.00,$4.99,2020-01-09T08:58:55Z,MTJW9410B6,500000421626418,Visa,USD,No
