"Track Name","Entitlement Date","Item Type","Track Reference Number"
"U2 - The Miracle (Of Joey Ramone)",2014-09-09T00:00:00Z,Track,915794179
"U2 - Every Breaking Wave",2014-09-09T00:00:00Z,Track,915794180
"U2 - California (There Is No End to Love)",2014-09-09T00:00:00Z,Track,915794181
"U2 - Song for Someone",2014-09-09T00:00:00Z,Track,915794182
"U2 - Iris (Hold Me Close)",2014-09-09T00:00:00Z,Track,915794189
"U2 - Volcano",2014-09-09T00:00:00Z,Track,915794192
"U2 - Raised By Wolves",2014-09-09T00:00:00Z,Track,915794194
"U2 - Cedarwood Road",2014-09-09T00:00:00Z,Track,915794195
"U2 - Sleep Like a Baby Tonight",2014-09-09T00:00:00Z,Track,915794197
"U2 - This Is Where You Can Reach Me Now",2014-09-09T00:00:00Z,Track,915794204
"U2 - The Troubles",2014-09-09T00:00:00Z,Track,915794205
"Digital Booklet - Songs of Innocence",2014-09-09T00:00:00Z,Booklet,915794206
