"Action Context","Action Subtype","Action Type","Action URL","App Name","App Version","Apple Id Number","Available Subscriptions","Billing Currency Code","Click Target","Client Id","Consented TV Provider","Content Type","Cookies","Destination URL","Dialog Buttons","Dialog Options","Dialog Result","Dialog Subject ID","Dialog Title","Dialog Type","Eligible TV Provider","Event Date Time","Event Type","External Referral App Name","External Referral URL","Filters","Has Global Account Consent","Has Previously Consented","Host App Name","Host App Version","IP","IP Time Zone","Impressed Content Names","Installed TV Provider","Is Free Eligible","Item ID","Language","Masked IP","Media Content URL","Media Play Duration MS","Media Play Position MS","Media TV Provider","Navigation","Non-Consented TV Provider","OS Language","OS Version","Offer Type","Page Type","Page URL","Price","Referral App Name","Referral URL","Screen Height Pixel","Screen Pixel Ratio","Screen Width Pixel","Search Filters","Search Term","Store Front Name","Subscribed TV Provider","Tab","Term","Transaction ID","Type","URI","User Actions","User Agent","User Subscription Status","Window Inner Height Pixel","Window Inner Width Pixel","Window Orientation","Window Outer Height Pixel","Window Outer Width Pixel"
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","tvs.sbd.10000,tvs.sbd.10021,tvs.sbd.10060,tvs.sbd.11220,tvs.sbd.11221,tvs.sbd.30061,tvs.sbd.9002","","","","","","","","","","","2019-05-19T13:00:05.987Z","exit","","","","true","true","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","false","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","","","","","","812","3.0","375","","","United States","","","","","taskSwitch","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","","","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","tvs.sbd.10000,tvs.sbd.10021,tvs.sbd.10060,tvs.sbd.11220,tvs.sbd.11221,tvs.sbd.30061,tvs.sbd.9002","","","","","","","","","","","2019-05-19T12:59:27.264Z","page","","","","true","true","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","false","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","Store","","","","","812","3.0","375","","","United States","","Store","","","","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","","","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","","","","","","","","","","","","2019-05-19T12:59:24.137Z","page","","","","","","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","Library","","","","","2436","3.0","1125","","","United States","","Library","","","","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","2436","1125","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","tvs.sbd.10000,tvs.sbd.10021,tvs.sbd.10060,tvs.sbd.11220,tvs.sbd.11221,tvs.sbd.30061,tvs.sbd.9002","","","","","","","","","","","2019-05-19T12:59:23.430Z","enter","","","","true","true","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","com.turner.TBS,com.turner.TNT,com.netflix.Netflix,com.amazon.aiv.AIVApp,com.apple.tv","false","","English","2605:a601:5438:0:0:0:0:0","","","","","","tvs.sbd.12962,tvs.sbd.2000","","12.2","","","","","","","812","3.0","375","","","United States","com.espn.ScoreCenter,com.hulu.plus,com.apple.Music,com.showtime.showtimeanytime,com.fxnetworks.ios.FXNOW,com.hbo.hbogo","","","","taskSwitch","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","","","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","tvs.sbd.10000,tvs.sbd.10021,tvs.sbd.10060,tvs.sbd.11220,tvs.sbd.11221,tvs.sbd.30061,tvs.sbd.9002","","","","","","","","","","","2019-05-19T12:59:19.402Z","exit","","","","true","true","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","false","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","","","","","","812","3.0","375","","","United States","","","","","taskSwitch","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","","","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","","","","","","","","","","","","2019-05-19T12:59:15.932Z","page","","","","","","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","Library","","","","","2436","3.0","1125","","","United States","","Library","","","","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","2436","1125","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","tvs.sbd.10000,tvs.sbd.10021,tvs.sbd.10060,tvs.sbd.11220,tvs.sbd.11221,tvs.sbd.30061,tvs.sbd.9002","","","","","","","","","","","2019-05-19T12:59:14.617Z","enter","","","","true","true","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","com.turner.TBS,com.turner.TNT,com.netflix.Netflix,com.amazon.aiv.AIVApp,com.apple.tv","false","","English","2605:a601:5438:0:0:0:0:0","","","","","","tvs.sbd.12962,tvs.sbd.2000","","12.2","","","","","","","812","3.0","375","","","United States","com.espn.ScoreCenter,com.hulu.plus,com.apple.Music,com.showtime.showtimeanytime,com.fxnetworks.ios.FXNOW,com.hbo.hbogo","","","","taskSwitch","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","","","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","tvs.sbd.10000,tvs.sbd.10021,tvs.sbd.10060,tvs.sbd.11220,tvs.sbd.11221,tvs.sbd.30061,tvs.sbd.9002","","","","","","","","","","","2019-05-19T12:59:12.980Z","exit","","","","true","true","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","false","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","","","","","","812","3.0","375","","","United States","","","","","taskSwitch","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","","","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","","","","","","","","","","","","2019-05-19T12:59:10.135Z","page","","","","","","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","Library","","","","","2436","3.0","1125","","","United States","","Library","","","","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","2436","1125","","",""
"","","","","Apple TV App","1","405952270","","","","4zrFAEcbTKIpiUuQhb3rGMCj","","","","","","","","","","","","2019-05-19T12:59:07.184Z","page","","","","","","","","2605:a601:5438:18:dd77:bf0b:3ef3:304e","EST","","","","","English","2605:a601:5438:0:0:0:0:0","","","","","","","","12.2","","Library","","","","","2436","3.0","1125","","","United States","","Library","","","","","","com.apple.tv/1.0 iOS/12.2 model/iPhone11,2 hwp/t8020 build/16E227 (6; dt:185)","subscribed","2436","1125","","",""
