"Action Context","Action Type","Action URL","App Name","App Version","Apple Id Number","Click Target","Client ID","Coming Soon","Consented TV Providers","Content Provider Brand ID","Content Type","Destination URL","Dialog Message Text","Dialog Response","Dialog Response Options","Dialog Subject ID","Dialog Type","Event Time","Event Type","External Reference URL","Feature Title","Hardware Brand","Hardware Family","Hardware Model","IP City","IP Country","IP Latitude","IP Longitude","IP Network","IP Network Type","IP Region","Impressed Content Names","Masked IP Address","Media Id","Media Play Position (MS)","Network Connection Type","Non Consented TV Providers","OS Languages","OS Version","Offer Type","On Web App","Operating System","Opted-in for Personalization","Page History","Page ID","Page Type","Page URL","Referral App Name","Screen Height (Pixels)","Screen Pixel Ratio","Screen Width (Pixels)","Search Term","Sensitive Content Type","Start Type","Store Front Name","Subscribed TV Providers","TV Provider Apps","Tab","Timezone Offset (Minutes)","Type","Upsell State","Upsell Trigger","Upsell Type","Visit ID","Window Inner Height (Pixels)","Window Inner Width (Pixels)","Window Outer Height (Pixels)","Window Outer Width (Pixels)"
"","","","Apple TV App","1","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:55.800Z","impressions","","","Apple","iPhone","iPhone XS","ATLANTA","US","33.7486","-84.3884","","","GA","[null,null,null,null,null,null,null,umc.cmc.3g1mczg6brq5iifcrw6jyfzgh,umc_id,1,0,null,WrappedArray(),ProductBanner,null,null,null,null,null,null,null,null,null,null,null,null,null]|[Play,null,tvs.sbd.4000,null,Show,Subscription,VHRQT0560106,umc.cmc.3g1mczg6brq5iifcrw6jyfzgh,umc_id,2,2,1,WrappedArray(1582501973944),BannerButton,null,null,null,null,null,null,null,null,null,umc.cmr.atvp.ep.152ewhddozyfs42fz2tlzc5q,null,null,null]|[null,null,null,null,null,null,null,episodeShelf,umc_id,3,1,null,WrappedArray(),episodeShelf,null,null,null,null,null,null,null,null,null,null,null,null,null]|[play,null,null,null,Episode,null,null,umc.cmc.3g1mczg6brq5iifcrw6jyfzgh,umc_id,4,5,3,WrappedArray(1582501973944),lockup,null,null,null,null,null,null,null,null,null,null,null,null,null]|[null,null,null,null,null,null,null,trailers,umc_id,5,2,null,WrappedArray(),Shelf,Trailers,null,null,null,null,null,null,null,null,null,null,null,null]|[play,null,null,null,null,null,1492536341;63844559;Preview,umc.cmr.atvp.vc.4b9f962w3tpq12j73nlesbbyi,umc_id,6,0,5,WrappedArray(1582501973944),trailer,,null,null,null,null,null,null,null,null,null,null,null,null]","130.207.218.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","","umc.cmc.1nfdfd5zlk05fo1bwwetzldy3","TVShow","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","watchnow","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","","","Apple TV App","1.0","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:54.802Z","exit","","","Apple","iPhone","iPhone XS","ATLANTA","US","33.7486","-84.3884","","","GA","","130.207.218.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","","umc.cmc.1nfdfd5zlk05fo1bwwetzldy3","TVShow","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","watchnow","420","taskSwitch","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","","","Apple TV App","1","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:51.083Z","impressions","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","[null,null,null,null,null,null,null,upNextShelf,umc_id,1,2,null,WrappedArray(),Shelf,Up Next,null,null,null,null,null,null,null,null,null,null,null,null]|[play,null,tvs.sbd.10000,null,Episode,null,eb91722b-b926-42e3-8ac8-f289eb2af77a,umc.cmc.5vq2fdmn8z6qhpbzf3jcidbtj,umc_id,2,2,1,WrappedArray(1582501969536),lockup,null,null,null,null,null,null,null,null,null,umc.cmr.hu2.ep.1140rx72r0cehzzz8z7h345wt,null,null,null]|[null,null,null,null,null,null,null,edt.col.5c6fac13-1d1e-467a-aa26-ebf632a4b64c,umc_id,3,3,null,WrappedArray(),Shelf,What to Watch,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.2ice8mlcn1zrtxf81e5ktwg8p,umc_id,4,1,3,WrappedArray(1582501969536),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.1nfdfd5zlk05fo1bwwetzldy3,umc_id,5,0,3,WrappedArray(1582501969536),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[null,null,null,null,null,null,null,tabItemsCollectionId,umc_id,6,1,null,WrappedArray(),Shelf,,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,TabItem,null,null,tvShowTabItem,umc_id,7,1,6,WrappedArray(1582501969536),tabItems,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,TabItem,null,null,sportsTabItem,umc_id,8,2,6,WrappedArray(1582501969536),tabItems,null,null,null,null,null,null,null,null,null,null,null,null,null]","65.126.127.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","","edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199","WatchNow","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","watchnow","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","","","Apple TV App","1","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:51.070Z","page","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","","65.126.127.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199|WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199|SearchInitial_SearchInitial|SearchLanding_SearchLanding|WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199","umc.cmc.1nfdfd5zlk05fo1bwwetzldy3","TVShow","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","watchnow","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","navigate","","Apple TV App","1","405952270","umc.cmc.1nfdfd5zlk05fo1bwwetzldy3","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","","","Show","","","","","","","2020-02-23T23:52:50.442Z","click","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","[null,null,null,null,null,null,null,uts.col.TrendingShows,umc_id,1,1,null,WrappedArray(),Shelf,Programas de TV populares,null,edt.shelf.SearchTrendingShows1,null,Lockup,TrendingShows,uts_search_landing,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.1wt1k4lyihd7dgqzbc74brlcv,umc_id,2,0,1,WrappedArray(1570824049158),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.6hfqtkwsw1fontlmy01wju22k,umc_id,3,1,1,WrappedArray(1570824049158),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.1x1jyw4vdpef4t0inm483v6h2,umc_id,4,2,1,WrappedArray(1570824049158),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[null,null,null,null,null,null,null,uts.col.TrendingMovies,umc_id,5,0,null,WrappedArray(),Shelf,Películas populares,null,edt.shelf.SearchTrendingMovies1,null,Lockup,TrendingMovies,uts_search_landing,null,null,null,null,null,null]|[navigate,null,null,null,Movie,null,null,umc.cmc.4ao9tm6b6rz4sy7yj5v13ltf8,umc_id,6,0,5,WrappedArray(1570824049158),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Movie,null,null,umc.cmc.4fio6tgwms256b6lkerx7qm0l,umc_id,7,1,5,WrappedArray(1570824049158),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Movie,null,null,umc.cmc.487khly1qyvrtue5odkopnqjn,umc_id,8,2,5,WrappedArray(1570824049158),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]","65.126.127.0","","","WiFi","","es-ES","13.3.1","","false","iOS","Grace","","edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199","WatchNow","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv","watchnow","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","navigate","","Apple TV App","1","405952270","umc.cmc.1nfdfd5zlk05fo1bwwetzldy3","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|NBC Sports|Disney+|NBC|CNN|AMC|Prime Video|Music|ESPN|HBO NOW","","Show","","","","","","","2020-02-23T23:52:50.442Z","click","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","[null,null,null,null,null,null,null,tabItemsCollectionId,umc_id,1,1,null,WrappedArray(),Shelf,,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,TabItem,null,null,tvShowTabItem,umc_id,2,1,1,WrappedArray(1582579201307),tabItems,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,TabItem,null,null,movieTabItem,umc_id,3,0,1,WrappedArray(1582579201307),tabItems,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,TabItem,null,null,sportsTabItem,umc_id,4,2,1,WrappedArray(1582579201307),tabItems,null,null,null,null,null,null,null,null,null,null,null,null,null]|[null,null,null,null,null,null,null,upNextShelf,umc_id,5,2,null,WrappedArray(),Shelf,Up Next,null,null,null,null,null,null,null,null,null,null,null,null]|[play,null,tvs.sbd.11000,null,Episode,null,1461024,umc.cmc.6uk4ofn681mu36jld1zx56nuz,umc_id,6,0,5,WrappedArray(1582579201307),lockup,null,null,null,null,null,null,null,null,null,umc.cmr.amc.ep.44vjbthkt2ti0u9plr3laj8ev,null,null,null]|[null,null,null,null,null,null,null,edt.col.5c6fac13-1d1e-467a-aa26-ebf632a4b64c,umc_id,7,3,null,WrappedArray(),Shelf,What to Watch,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.2ice8mlcn1zrtxf81e5ktwg8p,umc_id,8,1,7,WrappedArray(1582579201307),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.1nfdfd5zlk05fo1bwwetzldy3,umc_id,9,0,7,WrappedArray(1582579201307),swoosh,null,null,null,null,null,null,null,null,null,null,null,null,null]","65.126.127.0","","","WiFi","","en-US","13.3.1","","false","iOS","Grace","","","WatchNow","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.amctve.amcfullepisodes|com.apple.tv|com.cnn.iphone|com.netflix.Netflix","watchnow","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","","","Apple TV App","1","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:49.547Z","impressions","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","[null,null,null,null,null,null,null,uts.col.TrendingMovies,umc_id,1,0,null,WrappedArray(),Shelf,Trending Movies,null,edt.shelf.SearchTrendingMovies1,null,Lockup,TrendingMovies,uts_search_landing,null,null,null,null,null,null]|[navigate,null,null,null,Movie,null,null,umc.cmc.6f6qe9muhuw7g21639iajetn1,umc_id,2,1,1,WrappedArray(1582501964666),SearchLockup,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Movie,null,null,umc.cmc.6lb2ybnkxya6blvacomng5w6u,umc_id,3,0,1,WrappedArray(1582501964666),SearchLockup,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Movie,null,null,umc.cmc.5jnai8irbqw4s2n64dgdwfzz9,umc_id,4,2,1,WrappedArray(1582501964666),SearchLockup,null,null,null,null,null,null,null,null,null,null,null,null,null]|[null,null,null,null,null,null,null,uts.col.TrendingShows,umc_id,5,1,null,WrappedArray(),Shelf,Trending TV Shows,null,edt.shelf.SearchTrendingShows1,null,Lockup,TrendingShows,uts_search_landing,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.25tn3v8ku4b39tr6ccgb8nl6m,umc_id,6,1,5,WrappedArray(1582501964666),SearchLockup,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.2601i2idx1shkwlrirq98go0a,umc_id,7,0,5,WrappedArray(1582501964666),SearchLockup,null,null,null,null,null,null,null,null,null,null,null,null,null]|[navigate,null,null,null,Show,null,null,umc.cmc.5xnzwenjcdz9rysevkymtkewj,umc_id,8,2,5,WrappedArray(1582501964666),SearchLockup,null,null,null,null,null,null,null,null,null,null,null,null,null]","65.126.127.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","","SearchLanding","SearchLanding","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","search","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","","","Apple TV App","1","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:49.517Z","page","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","","65.126.127.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199|WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199|SearchInitial_SearchInitial|SearchLanding_SearchLanding","edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199","WatchNow","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","watchnow","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","","","Apple TV App","1","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:44.616Z","page","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","","65.126.127.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199|WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199|SearchInitial_SearchInitial","SearchLanding","SearchLanding","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","search","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
"","","","Apple TV App","1","405952270","","Mur8gxyhM4rM_cpnmDcak_JRLj1LiKHYA9tZBQctzZ8","","Hulu|Showtime Anytime|FXNOW|TNT|TBS|ESPN|HBO GO","","","","","","","","","2020-02-23T23:52:44.247Z","page","","","Apple","iPhone","iPhone XS","SALTLAKECITY","US","40.7566","-111.8992","qwest","","UT","","65.126.127.0","","","WiFi","Prime Video|Music","en-US|el-US|ru-RU","13.3.1","","false","iOS","Grace","WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199|WatchNow_edt.cvs.5c3786c3-3593-465b-83ba-ae6a4d33b199","SearchInitial","SearchInitial","","","812","3.0","375","","","","United States","com.amazon.aiv.AIVApp|com.apple.Music|com.disney.disneyplus|com.espn.ScoreCenter|com.fxnetworks.ios.FXNOW|com.hbo.hbogo|com.hulu.plus|com.showtime.showtimeanytime|com.turner.TNT","com.apple.tv|com.espn.fantasyFootball|com.netflix.Netflix|com.turner.TBS","search","420","","","","","5da1f174-58a8-4aba-89c0-c89ec2e79eaa_3_1582500401343","","","812","375"
