"Station Id",Subscription?,Shared?,Created,"Last Modified",Deleted?,"Station Description"
st.114171381,false,false,2013-12-03T22:02:35.483Z,2013-12-03T22:02:35.481Z,No,"Clique Radio"
st.408837977,false,false,2014-10-20T01:51:23.656Z,2014-10-20T01:51:23.655Z,No,Classical
st.776988885,false,true,2018-01-26T21:51:14.981Z,2018-01-26T21:51:15.493Z,No,"Steve Miller Band Radio"
st.780949240,false,true,2018-02-14T18:01:57.019Z,2018-02-14T18:01:57.244Z,No,"Michael Jackson Radio"
st.785356751,false,true,2018-03-06T22:32:38.268Z,2018-03-06T22:32:38.545Z,No,"Gucci Mane Radio"
st.785370770,false,true,2018-03-06T23:18:25.069Z,2018-03-06T23:18:25.294Z,No,"Bruno Mars Radio"
st.791753806,false,true,2018-04-06T12:39:52.875Z,2018-04-06T12:39:53.108Z,No,"Taylor Swift Radio"
st.801814339,false,true,2018-05-22T12:42:55.877Z,2018-05-22T12:42:56.155Z,No,"Simon & Garfunkel Radio"
st.803430485,false,true,2018-05-29T23:50:37.132Z,2018-05-29T23:50:37.442Z,No,"The Killers Radio"
st.824710528,false,true,2018-08-04T16:38:10.879Z,2018-08-04T16:38:11.145Z,No,"Sugar Ray Radio"
st.831299621,false,true,2018-08-24T12:37:32.339Z,2018-08-24T12:37:32.664Z,No,"2 Chainz Radio"
st.868751629,false,true,2018-11-15T13:29:09.966Z,2018-11-15T13:29:10.382Z,No,"Aretha Franklin Radio"
