"Total Plays","Last Plays in Sequence","Entry Creation Date","Entry Modification Date","Container Type","Container Description","Track Description","Ignore for recommendations",Country,"Container Reference","Track Reference"
23,8,2020-06-23T22:32:32.248Z,2020-06-25T17:30:06.445Z,Album,"Kendrick Lamar - good kid, m.A.A.d city (Deluxe Version)","Kendrick Lamar - Sing About Me, I'm Dying of Thirst",No,"United States",1440821622,1440821841
89,22,2020-06-16T15:59:16.812Z,2020-06-25T15:54:18.240Z,Playlist,Rock,"The Who - My Generation (Stereo)",No,"United States",256001797,1444151251
20,3,2020-06-09T16:01:31.136Z,2020-06-24T22:18:00.473Z,Playlist,BALLIN,"Big K.R.I.T. - Sookie Now (feat. David Banner)",No,"United States",256002825,440260606
1,1,2020-06-24T21:51:21.099Z,2020-06-24T21:51:20.949Z,Album,"Anderson .Paak - Lockdown - Single","Anderson .Paak - Lockdown",No,"United States",1519032499,1519032500
1,1,2020-06-24T21:16:56.268Z,2020-06-24T21:05:40.903Z,"Radio Station",N/A,"Tokyo Drift (feat. K1D)",No,"United States",N/A,1246769767
34,7,2020-05-12T19:30:20.805Z,2020-06-24T19:36:24.652Z,Playlist,"West Coast Hip-Hop Essentials","Domino - Getto Jam",No,"United States",256002321,419806489
55,11,2020-05-28T22:53:19.088Z,2020-06-24T19:21:21.022Z,Playlist,Workout,"Khia - My Neck, My Back",No,"United States",256001805,32990857
1,1,2020-06-24T16:26:51.296Z,2020-06-24T16:25:22.568Z,"Radio Station",N/A,"Go Somewhere",No,"United States",N/A,1477632194
,,2020-06-24T16:37:48.293Z,2020-06-24T16:22:33.245Z,"Radio Station",N/A,"Kream (feat. Tyga)",No,"United States",N/A,1408989941
1,1,2020-06-24T16:20:41.295Z,2020-06-24T16:20:41.215Z,Album,"Iggy Azalea - Survive the Summer - EP","Iggy Azalea - Kream (feat. Tyga)",No,"United States",1407434205,1407434208
1,1,2020-06-24T15:46:35.841Z,2020-06-24T15:46:35.724Z,Album,"Khruangbin - Hasta El Cielo (Con Todo El Mundo In Dub)","Khruangbin - Mary Always",No,"United States",1465755016,1465755288
14,8,2020-06-23T17:21:33.386Z,2020-06-23T22:29:55.838Z,Album,"Jay Electronica - A Written Testimony","Jay Electronica - Flux Capacitor",No,"United States",1502677867,1502677883
146,2,2020-05-06T19:45:54.383Z,2020-06-23T18:13:04.592Z,Playlist,"Sweet K's Mix","Busta Rhymes - Pass the Courvoisier Remix (feat. P. Diddy & Pharrell)",No,"United States",256000769,1440747768
183,8,2020-04-17T22:36:06.718Z,2020-06-22T22:09:18.340Z,Playlist,"I Wanna Go Fast","Die Antwoord - I Fink U Freeky",No,"United States",256004097,1240204285
21,14,2020-06-16T15:58:18.166Z,2020-06-22T19:21:12.752Z,Playlist,"My Shazam Tracks","Run The Jewels - ooh la la (feat. Greg Nice & DJ Premier)",No,"United States",256003085,1516371266
11,11,2020-06-22T15:39:57.999Z,2020-06-22T16:14:59.990Z,Album,"Phoebe Bridgers - Punisher","Phoebe Bridgers - I Know the End",No,"United States",1504699857,1504700020
123,10,2020-04-30T14:21:50.686Z,2020-06-21T19:40:44.336Z,Playlist,Country,"George Strait - Give It Away",No,"United States",256000529,193196855
5,3,2020-06-19T01:42:07.234Z,2020-06-20T19:56:47.456Z,Album,"Khruangbin - Con Todo El Mundo","Khruangbin - August 10",No,"United States",1299241642,1299241646
101,9,2020-05-14T18:21:48.871Z,2020-06-19T18:19:43.314Z,Playlist,"2000s Hip-Hop Essentials","Cam’ron - Oh Boy (feat. Juelz Santana)",No,"United States",256003841,1470551278
7,7,2020-06-19T15:46:53.513Z,2020-06-19T16:08:58.942Z,Playlist,"90s Smash Hits","Jennifer Lopez - Waiting for Tonight",No,"United States",256002057,265144699
10,10,2020-06-19T15:42:56.355Z,2020-06-19T15:46:26.477Z,Playlist,N/A,"Leon Bridges - Beyond",No,"United States","pl.46e9ae1e00bd448db5ce92e65a48c1c5",1356339062
5,5,2020-06-19T14:55:13.062Z,2020-06-19T15:42:44.046Z,Playlist,N/A,"Khruangbin - Dern Kala",No,"United States","pl.c26221f1878b44daacc295d42c5d5245",1098176711
7,1,2020-05-28T16:53:34.696Z,2020-06-19T14:12:54.565Z,Playlist,"GSD Programming","Trent Reznor & Atticus Ross - In Motion",No,"United States",256002577,395740928
