"Station Id",Subscription?,Shared?,Created,"Last Modified",Deleted?,"Station Description"
st.114171381,false,false,2013-12-03T22:02:35.483Z,2013-12-03T22:02:35.481Z,No,"Clique Radio"
st.408837977,false,false,2014-10-20T01:51:23.656Z,2014-10-20T01:51:23.655Z,No,Classical
st.776988885,false,true,2018-01-26T21:51:14.981Z,2018-01-26T21:51:15.493Z,No,"Steve Miller Band Radio"
st.780949240,false,true,2018-02-14T18:01:57.019Z,2018-02-14T18:01:57.244Z,No,"Michael Jackson Radio"
st.785356751,false,true,2018-03-06T22:32:38.268Z,2018-03-06T22:32:38.545Z,No,"Gucci Mane Radio"
st.785370770,false,true,2018-03-06T23:18:25.069Z,2018-03-06T23:18:25.294Z,No,"Bruno Mars Radio"
st.791753806,false,true,2018-04-06T12:39:52.875Z,2018-04-06T12:39:53.108Z,No,"Taylor Swift Radio"
st.801814339,false,true,2018-05-22T12:42:55.877Z,2018-05-22T12:42:56.155Z,No,"Simon & Garfunkel Radio"
st.803430485,false,true,2018-05-29T23:50:37.132Z,2018-05-29T23:50:37.442Z,No,"The Killers Radio"
st.824710528,false,true,2018-08-04T16:38:10.879Z,2018-08-04T16:38:11.145Z,No,"Sugar Ray Radio"
st.831299621,false,true,2018-08-24T12:37:32.339Z,2018-08-24T12:37:32.664Z,No,"2 Chainz Radio"
st.868751629,false,true,2018-11-15T13:29:09.966Z,2018-11-15T13:29:10.382Z,No,"Aretha Franklin Radio"
st.888386550,false,true,2018-12-14T23:47:58.753Z,2018-12-14T23:47:58.987Z,No,"Kanye West Radio"
st.900839044,false,true,2018-12-31T19:49:59.074Z,2018-12-31T19:49:59.356Z,No,"Sheryl Crow Radio"
st.907673221,false,true,2019-01-10T13:28:31.344Z,2019-01-10T13:28:31.545Z,No,"Frank Ocean Radio"
st.907614958,false,true,2019-01-10T13:31:52.141Z,2019-01-10T13:31:52.343Z,No,"Kacey Musgraves Radio"
st.912312514,false,true,2019-01-16T13:17:40.674Z,2019-01-16T13:17:41.031Z,No,"Shania Twain Radio"
st.929752113,false,true,2019-02-09T20:41:01.796Z,2019-02-09T20:41:02.195Z,No,"Kendrick Lamar Radio"
st.961412875,false,true,2019-03-27T12:01:27.916Z,2019-03-27T12:01:28.210Z,No,"Ludacris Radio"
st.971959045,false,true,2019-04-09T22:20:22.992Z,2019-04-09T22:20:23.137Z,No,"Drake Radio"
st.972604866,false,true,2019-04-10T21:04:38.042Z,2019-04-10T21:04:38.203Z,No,"Miranda Lambert Radio"
st.1030542885,false,true,2019-06-23T23:51:08.912Z,2019-06-23T23:51:09.187Z,No,"The Temptations Radio"
st.1049874935,false,true,2019-07-20T22:43:41.823Z,2019-07-20T22:43:42.027Z,No,"Ratatat Radio"
st.1062236800,false,true,2019-08-06T12:45:50.887Z,2019-08-06T12:45:51.152Z,No,"Missy Elliott Radio"
st.1127755790,false,true,2019-10-26T18:14:31.813Z,2019-10-26T18:14:31.986Z,No,"A Boogie wit da Hoodie Radio"
st.1213674712,false,true,2020-01-25T16:33:17.773Z,2020-01-25T16:33:18.011Z,No,"OutKast Radio"
st.1239108447,false,true,2020-02-18T00:30:30.973Z,2020-02-18T00:30:31.211Z,No,"Bob Dylan Radio"
st.1269713592,false,true,2020-03-17T23:07:54.709Z,2020-03-17T23:07:54.873Z,No,"ZZ Top Radio"
st.1353415597,false,true,2020-06-09T15:55:59.572Z,2020-06-09T15:55:59.723Z,No,"Billie Eilish Radio"
