"Last Modified","Container Type","Container Description","Track Description","Ignore For Recommendations",Country,"Container Reference","Track Reference","Feature Name","First Event Timestamp","Last End Reason Tyoe","Last Event End Timestamp","Last Event Received Timestamp","Last Event Start Timestamp","Max Event End Position in millis","Max Play Duration in millis","Media duration in millis","Media type","Min Event Start Position in millis","Total plays","Total skips","Total play duration in millis"
2021-12-23T14:26:23.552Z,Playlist,"Sweet K's Mix","Remi Wolf & Dominic Fike - Photo ID",false,"United States",256000769,1564286357,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-23T14:21:02.552Z,Playlist,"Sweet K's Mix","Tyler, The Creator - Boredom (feat. Rex Orange County and Anna of the North)",false,"United States",256000769,1254572578,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-23T14:18:24.552Z,Playlist,"Sweet K's Mix","Jack Harlow - Tyler Herro",false,"United States",256000769,1542886960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-02T00:50:35.610Z,Album,"Turnstile - GLOW ON","Turnstile - MYSTERY",false,"United States",1576430192,1576430193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-02T00:47:43.149Z,Album,"Turnstile - GLOW ON","Turnstile - HOLIDAY",false,"United States",1576430192,1576430737,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-02T00:45:46.948Z,Playlist,"Sweet K's Mix","Young-Holt Unlimited - Soulful Strut",false,"United States",256000769,115213775,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-02T00:41:48.902Z,Album,"Kanye West & The Weeknd - Hurricane (feat. Lil Baby) - Single","Kanye West & The Weeknd - Hurricane (feat. Lil Baby)",false,"United States",1587238350,1587238354,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-02T00:41:29.766Z,Playlist,"Sweet K's Mix","J Balvin & Skrillex - In Da Getto",false,"United States",256000769,1573664905,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T23:35:16.173Z,Album,"Baby Keem & Kendrick Lamar - family ties - Single","Baby Keem & Kendrick Lamar - family ties",false,"United States",1581180940,1581180951,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T22:43:33.980Z,Playlist,N/A,"The Notorious B.I.G. - Juicy",false,"United States","pl.f75fd86cd6fd4786b99cd25390cf5fe6",216666659,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T22:31:49.310Z,Playlist,N/A,"Ricky Martin - Livin' la Vida Loca",false,"United States","pl.f75fd86cd6fd4786b99cd25390cf5fe6",192821659,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T22:25:31.279Z,Playlist,N/A,"TLC - No Scrubs",false,"United States","pl.f75fd86cd6fd4786b99cd25390cf5fe6",309066884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T22:18:55.303Z,N/A,N/A,"SZA - Pretty Little Birds (feat. Isaiah Rashad)",false,"United States",N/A,1239976614,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T21:51:59.703Z,Playlist,"Sweet K's Mix","Kodak Black - Patty Cake",false,"United States",256000769,1220045770,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T14:57:50.760Z,Playlist,"’60s Dance Party Essentials","The Contours - Do You Love Me (Single)",false,"United States",256003849,1443993934,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T14:57:20.183Z,Playlist,"Today’s Hits","Drake - Knife Talk (feat. 21 Savage & Project Pat)",false,"United States",256001289,1584281787,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T14:53:07.708Z,Playlist,"Today’s Hits","Doja Cat - Kiss Me More (feat. SZA)",false,"United States",256001289,1574004703,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-01T14:53:04.955Z,Playlist,"Today’s Hits","Lil Nas X & Jack Harlow - INDUSTRY BABY",false,"United States",256001289,1576552565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:52:47.501Z,Playlist,"Today’s Hits","Doja Cat - Need To Know",false,"United States",256001289,1571169194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:52:44.430Z,Playlist,"Today’s Hits","The Kid LAROI & Justin Bieber - STAY",false,"United States",256001289,1578326262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-30T22:52:41.747Z,Playlist,"Today’s Hits","Adele - Easy On Me",false,"United States",256001289,1590036021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
